device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 259: loss 4.2404, step_time 114.47 ms, throughput 143124.21 tokens/s
step 260: loss 4.2305, step_time 114.13 ms, throughput 143555.67 tokens/s
step 261: loss 4.2099, step_time 114.90 ms, throughput 142592.25 tokens/s
step 262: loss 4.1792, step_time 115.29 ms, throughput 142114.59 tokens/s
step 263: loss 4.1732, step_time 113.89 ms, throughput 143864.35 tokens/s
step 264: loss 4.1715, step_time 114.78 ms, throughput 142737.90 tokens/s
step 265: loss 4.1653, step_time 114.84 ms, throughput 142673.58 tokens/s
step 266: loss 4.1662, step_time 114.27 ms, throughput 143385.36 tokens/s
step 267: loss 4.3198, step_time 114.64 ms, throughput 142913.04 tokens/s
step 268: loss 4.1147, step_time 114.89 ms, throughput 142603.28 tokens/s
step 269: loss 4.2153, step_time 114.08 ms, throughput 143616.79 tokens/s
step 270: loss 4.3099, step_time 114.39 ms, throughput 143234.48 tokens/s
step 271: loss 4.1706, step_time 114.16 ms, throughput 143523.21 tokens/s
step 272: loss 4.1048, step_time 114.63 ms, throughput 142924.46 tokens/s
step 273: loss 4.1059, step_time 115.32 ms, throughput 142079.92 tokens/s
step 274: loss 4.1494, step_time 114.17 ms, throughput 143506.52 tokens/s
step 275: loss 4.2123, step_time 114.85 ms, throughput 142654.75 tokens/s
step 276: loss 4.1054, step_time 114.82 ms, throughput 142687.05 tokens/s
step 277: loss 4.1357, step_time 113.81 ms, throughput 143964.01 tokens/s
step 278: loss 4.1075, step_time 114.61 ms, throughput 142952.32 tokens/s
step 279: loss 4.1003, step_time 114.87 ms, throughput 142633.82 tokens/s
step 280: loss 4.1267, step_time 114.27 ms, throughput 143377.64 tokens/s
step 281: loss 4.0396, step_time 114.53 ms, throughput 143053.96 tokens/s
step 282: loss 4.1295, step_time 115.07 ms, throughput 142385.39 tokens/s
step 283: loss 4.1646, step_time 114.47 ms, throughput 143134.25 tokens/s
step 284: loss 4.2553, step_time 115.00 ms, throughput 142464.54 tokens/s
step 285: loss 4.0681, step_time 115.09 ms, throughput 142359.03 tokens/s
